title,artist,composer,lyricist,dates
The Next Episode,Dr.Dre(Feat.Snoop Dogg),"BRADFORD MELVIN,YOUNG ANDRE ROMELL,BROADUS CALVIN,BAILEY BRIAN,AXELROD DAVID","BRADFORD MELVIN,YOUNG ANDRE ROMELL,BROADUS CALVIN,BAILEY BRIAN,AXELROD DAVID",2019-02-12
With You,Mariah Carey,"CAREY MARIAH,DJ MUSTARD,HINSHAW CHARLES A JR,LAWARY GREG","CAREY MARIAH,DJ MUSTARD,HINSHAW CHARLES A JR,LAWARY GREG",2019-02-13
Baby Shark,Mike Whitla,WHITLA MIKE,WHITLA MIKE,2019-02-14
Be Honest,Jason Mraz(Feat.Inara George),"MICHAEL NATTER,JASON MRAZ","MICHAEL NATTER,JASON MRAZ",2019-02-14
Head Above Water,Avril Lavigne,"LAVIGNE AVRIL RAMONA,MOCCIO STEPHAN,CLARK TRAVIS RANDALL","LAVIGNE AVRIL RAMONA,MOCCIO STEPHAN,CLARK TRAVIS RANDALL",2019-02-14
Personal,HRVY,"CANTWELL HARVEY,SHAH DANNY,NZERIBE JUSTUS BORIS OYIMBA,DREELAN BLAIR,THOMAS JORDAN","CANTWELL HARVEY,SHAH DANNY,NZERIBE JUSTUS BORIS OYIMBA,DREELAN BLAIR,THOMAS JORDAN",2019-02-19
Your Love,The Outfield,SPINKS JOHN,SPINKS JOHN,2019-02-19
SICKO MODE,Travis Scott,BROWN KHALIF MALIK IBN SHAMAN 외 7명,BROWN KHALIF MALIK IBN SHAMAN 외 7명,2019-02-22
bury a friend,Billie Eilish,"O'CONNELL BILLIE EILISH,OCONNELL FINNEAS BAIRD","O'CONNELL BILLIE EILISH,OCONNELL FINNEAS BAIRD",2019-02-25
Swan Song(Alita: Battle Angel OST),Dua Lipa,FREDRIKSSON ROBIN LENNART 외 5명,FREDRIKSSON ROBIN LENNART 외 5명,2019-02-26
Now I'm Here,Queen,MAY BRIAN,MAY BRIAN,2019-02-28
Someday(2016 Live Ver.),MC THE MAX,DAVINK,CROM,2019-03-06
I Want It All,Queen,"MERCURY FREDERI,DEACON JOHN RIC,MAY BRIAN HAROL,TAYLOR ROGER ME","MERCURY FREDERI,DEACON JOHN RIC,MAY BRIAN HAROL,TAYLOR ROGER ME",2019-03-12
Keep Yourself Alive,Queen,MAY BRIAN HAROL,MAY BRIAN HAROLD,2019-03-12
flos,R Sound Design(Feat.初音ミク),R SOUND DESIGN,R SOUND DESIGN,2019-03-13
Wow.,Post Malone,"POST AUSTIN RICHARD,FRANK DUKES,BILLY WALSH,LOUIS BELL","POST AUSTIN RICHARD,FRANK DUKES,BILLY WALSH,LOUIS BELL",2019-03-13
Seasons Of Love(Rent OST),Rent Cast,LARSON JONATHAN D,LARSON JONATHAN D,2019-03-14
Have You Ever,S Club 7,"FRAMPTON ANDREW MARCUS,DENNIS CATHY,BRAIDE CHRISTOPHER KENNETH","FRAMPTON ANDREW MARCUS,DENNIS CATHY,BRAIDE CHRISTOPHER KENNETH",2019-03-18
Please Me,"Cardi B,Bruno Mars",BELCALIS ALMANZAR 외 6명,BELCALIS ALMANZAR 외 6명,2019-03-20
Rise,Jonas Blue(Feat. Jack & Jack),"ROMAN SAMUEL ELLIOT,DREWETT EDWARD JAMES,ROBIN GUY JAMES","ROMAN SAMUEL ELLIOT,DREWETT EDWARD JAMES,ROBIN GUY JAMES",2019-03-22
wish you were gay,Billie Eilish,"O'CONNELL BILLIE EILISH,OCONNELL FINNEAS BAIRD","O'CONNELL BILLIE EILISH,OCONNELL FINNEAS BAIRD",2019-03-22
Bad,Christopher,"TIDEBRINK STOMBERG ALEXANDER MICHAEL,LINJAMA LENNO SAKARI,LUND CHRISTOPHER,BLOM ARON ROLF","TIDEBRINK STOMBERG ALEXANDER MICHAEL,LINJAMA LENNO SAKARI,LUND CHRISTOPHER,BLOM ARON ROLF",2019-03-25
I'm so tired...,"Lauv,Troye Sivan","ARI LEFF,MICHAEL POLLACK,TROYE SIVAN MELLET,BRETT MCLAUGHLIN","ARI LEFF,MICHAEL POLLACK,TROYE SIVAN MELLET,BRETT MCLAUGHLIN",2019-03-26
Dancing With A Stranger,"Sam Smith,Normani","SAM SMITH,JIMMY NAPES,MIKKEL S. ERIKSEN,TOR HERMANSEN,NORMANI KORDEI","SAM SMITH,JIMMY NAPES,MIKKEL S. ERIKSEN,TOR HERMANSEN,NORMANI KORDEI",2019-03-28
Talk,"Khalid,Disclosure","KHALID ROBINSON,GUY LAWRENCE,HOWARD LAWRENCE","KHALID ROBINSON,GUY LAWRENCE,HOWARD LAWRENCE",2019-03-29
Who Do You Love,"The Chainsmokers,5 Seconds Of Summer",ANDREW TAGGART 외 9명,ANDREW TAGGART 외 9명,2019-04-01
"Break up with your girlfriend, I'm bored",Ariana Grande,"KOTECHA SAVAN,BRIGGS KEVIN,MAX MARTIN,BURUSS KANDI,GRANDE ARIANA,SALMANZADEH ILYA","KOTECHA SAVAN,BRIGGS KEVIN,MAX MARTIN,BURUSS KANDI,GRANDE ARIANA,SALMANZADEH ILYA",2019-04-02
Remember(映画'夏目友人帳~うつせみに結ぶ~' OST),Uru,URU,URU,2019-04-03
Back Down To Earth,Michelle Shaprow,MICHELLE SHAPROW,MICHELLE SHAPROW,2019-04-04
How Long Will I Love You(About Time OST),Ellie Goulding,MIKE SCOTT,MIKE SCOTT,2019-04-05
Fire On Fire(Watership Down OST),Sam Smith,"SAM SMITH,STEVE MAC","SAM SMITH,STEVE MAC",2019-04-09
Ruin My Life,Zara Larsson,"FOOTE JACKSON,JOHNSON STEFAN,POLLACK MICHAEL,SANDERSON JAMIE,JOHNSON JORDAN,AMARADIO BRITTANY","FOOTE JACKSON,JOHNSON STEFAN,POLLACK MICHAEL,SANDERSON JAMIE,JOHNSON JORDAN,AMARADIO BRITTANY",2019-04-09
Snow In California,Ariana Grande,"THOMAS III LEON G.,EDMONDS KENNETH B.,DIXON ANTONIO LAMAR,RIDDICK TYNES KHRISTOPHER VAN","THOMAS III LEON G.,EDMONDS KENNETH B.,DIXON ANTONIO LAMAR,RIDDICK TYNES KHRISTOPHER VAN",2019-04-09
Sweetener,Ariana Grande,"ARIANA GRANDE,PHARRELL WILLIAMS","ARIANA GRANDE,PHARRELL WILLIAMS",2019-04-09
SAPPY,Red Velvet,"MARCUS MARIA,Emyli,OBERG ANDREAS GUSTAV ERIK",MEG. ME,2019-04-11
Sucker,Jonas Brothers,"ADAM KING FEENEY,LOUIS BELL,NICK JONAS,RYAN TEDDER,KEVIN JONAS,JOE JONAS,CARL ROSEN","ADAM KING FEENEY,LOUIS BELL,NICK JONAS,RYAN TEDDER,KEVIN JONAS,JOE JONAS,CARL ROSEN",2019-04-18
Waiting For Your Love,Stevie B.,"CRUIZE C,D ALESSANDRO FRANK M,KATAS TOLGA T","CRUIZE C,D ALESSANDRO FRANK M,KATAS TOLGA T",2019-04-18
bloodline,Ariana Grande,"GRANDE ARIANA,SALMANZADEH ILYA,KOTECHA SAVAN,MAX MARTIN","GRANDE ARIANA,SALMANZADEH ILYA,KOTECHA SAVAN,MAX MARTIN",2019-04-23
lovely(13 Reasons Why OST),Billie Eilish(with Khalid),"O CONNELL FINNEAS,KHALID ROBINSON,O'CONNELL BILLIE EILISH","O CONNELL FINNEAS,KHALID ROBINSON,O'CONNELL BILLIE EILISH",2019-04-23
There's No Way,Lauv(Feat.Julia Michaels),"KIRKPATRICK IAN ERIC, MICHAELS JULIA,TRANTER JUSTIN DREW, LEFF ARI","KIRKPATRICK IAN ERIC, MICHAELS JULIA,TRANTER JUSTIN DREW, LEFF ARI",2019-04-23
TOUCH OFF(約束のネバーランドOP),UVERworld,UVERWORLD,TAKUYA∞,2019-04-24
Hope,The Chainsmokers(Feat.Winona Oak),"WINONA OAK,KATE MORGAN,ANDREW TAGGART,CHRISTOPHER LYON,ALEX PALL","WINONA OAK,KATE MORGAN,ANDREW TAGGART,CHRISTOPHER LYON,ALEX PALL",2019-04-30
Hotter Than Hell,Dua Lipa,"DUA LIPA,ADAM MIDGLEY,TOMMY BAXTER,GERALD O'CONNELL","DUA LIPA,ADAM MIDGLEY,TOMMY BAXTER,GERALD O'CONNELL",2019-04-30
My Bad,Khalid,"KHALID ROBINSON,DERNST EMILE II","KHALID ROBINSON,DERNST EMILE II",2019-04-30
Close To Me,"Ellie Goulding,Diplo,Swae Lee","SALMANZADEH ILYA,PENTZ THOMAS,SVENSSON ANDERS,GOULDING ELENA,BROWN KHALIF,KOTECHA SAVAN","SALMANZADEH ILYA,PENTZ THOMAS,SVENSSON ANDERS,GOULDING ELENA,BROWN KHALIF,KOTECHA SAVAN",2019-05-02
Eastside,"Benny blanco,Halsey,Khalid","ASHLEY FRANGIPANE,KHALID ROBINSON,NATHAN PEREZ,BENJAMIN LEVIN,ED SHEERAN","ASHLEY FRANGIPANE,KHALID ROBINSON,NATHAN PEREZ,BENJAMIN LEVIN,ED SHEERAN",2019-05-02
bad guy,Billie Eilish,"O CONNELL FINNEAS,O CONNELL BILLIE","O CONNELL FINNEAS,O CONNELL BILLIE",2019-05-09
Supermarket Flowers,Ed Sheeran,"ED SHEERAN,MCDAID JOHN,LEVIN BENJAMIN","ED SHEERAN,MCDAID JOHN,LEVIN BENJAMIN",2019-05-10
Instruction,"Jax Jones(Feat.Demi Lovato,Stefflon Don)","TIMUCIN ALUO,STEPHANIE ALLEN,DEMI LOVATO,UZOECHI EMENIKE","TIMUCIN ALUO,STEPHANIE ALLEN,DEMI LOVATO,UZOECHI EMENIKE",2019-05-13
Can't You See,Tiffany,"AURINGER TIM JAMES,JAMES TIM 외 3명","AURINGER TIM JAMES,JAMES TIM 외 3명",2019-05-20
ME&YOU,EXID,"LE,부한솔,박주성,신사동호랭이","LE,부한솔,박주성,신사동호랭이",2019-05-20
Old Town Road,Lil Nas X(Feat. Billy Ray Cyrus),"KIOWA ROUKEMA,MONTERO LAMAR HILL 외 2명","KIOWA ROUKEMA,MONTERO LAMAR HILL 외 2명",2019-05-21
YES or YES(Japanese Ver.),Twice,"LOVE ANDREW NICHOLAS,DAVID AMBER",SIM EUN JEE,2019-05-22
Comethru,Jeremy Zucker,ZUCKER JEREMY SCOTT,"RAKOW DANIEL JAMES,ZUCKER JEREMY SCOTT",2019-05-24
On My Way,"Alan Walker,Sabrina Carpenter,Farruko","BORGEN JESPER,CARPENTER SABRINA ANNLYNN 외 10명","BORGEN JESPER,CARPENTER SABRINA ANNLYNN 외 10명",2019-05-28
make up,Ariana Grande,"ARIANA GRANDE,TAYLOR PARKS 외 3명","ARIANA GRANDE,TAYLOR PARKS 외 3명",2019-05-30
wind(NARUTO-ナルト- ED),Akeboshi,Akeboshi,Akeboshi,2019-05-30
I Don't Care,"Ed Sheeran,Justin Bieber",BIEBER JUSTIN 외 5명,BIEBER JUSTIN 외 5명,2019-05-31
If I Can't Have You,Shawn Mendes,SHAWN MENDES 외 3명,SHAWN MENDES 외 3명,2019-05-31
ME!,Taylor Swift(Feat.Brendon Urie of Panic! At The Di,"TAYLOR SWIFT,JOEL LITTLE,BRENDON URIE","TAYLOR SWIFT,JOEL LITTLE,BRENDON URIE",2019-05-31
Broken & Beautiful(UglyDolls OST),Kelly Clarkson,ALECIA B MOORE 외 3명,ALECIA B MOORE 외 3명,2019-06-03
SAL-KI,Lim Kim,"LIM KIM,NO IDENTITY,DALO",LIM KIM,2019-06-03
What I Like About You,Jonas Blue(Feat.Theresa Rex),"GUY JAMES ROBIN,LENE DISSING,PETER BJORNSKOV","GUY JAMES ROBIN,LENE DISSING,PETER BJORNSKOV",2019-06-03
Diamond Heart,"Alan Walker,Sophia Somajo",WALKER ALAN OLAV 외 10명,WALKER ALAN OLAV 외 10명,2019-06-04
NEW ERA,Nulbarich,JEREMY QUARTUS,"RYO MATSUBARA,JEREMY QUARTUS",2019-06-05
Cruise,"BOYCOLD,1MILLION(Feat.쿠기)","COOGIE,BOYCOLD",COOGIE,2019-06-10
Alone,Alan Walker,"ALAN OLAV WALKER,ANDERS FROEN 외 3명","ALAN OLAV WALKER,ANDERS FROEN 외 3명",2019-06-13
Crying Over You,HONNE(Feat.BEKA),CLUTTERBUCK ANDREW PETER 외 2명,CLUTTERBUCK ANDREW PETER 외 2명,2019-06-13
A Whole New World(Aladdin OST),"ZAYN,Zhavia Ward","MENKEN ALAN,RICE (GB) TIM","MENKEN ALAN,RICE (GB) TIM",2019-06-17
Speechless(Full)(Aladdin OST),Naomi Scott,"BENJ PASEK,JUSTIN PAUL",ALAN MENKEN,2019-06-17
Earth,Lil Dicky,BURD DAVID ANDREW 외 4명,BURD DAVID ANDREW 외 4명,2019-06-18
Drugs & The Internet,Lauv,ARI LEFF 외 4명,ARI LEFF 외 4명,2019-06-21
Left Right Left,Charlie Puth,"CHARLES PUTH.JUSTIN FRANKS,PARIS JONES,MARC GRIFFIN,GEOFFREY EARLEY","CHARLES PUTH.JUSTIN FRANKS,PARIS JONES,MARC GRIFFIN,GEOFFREY EARLEY",2019-06-24
when the party's over,Billie Eilish,FINNEAS BAIRD OCONNEL,FINNEAS BAIRD OCONNEL,2019-06-25
No Brainer,"DJ Khaled(Feat.Justin Bieber,Chance The Rapper & Q",BALDING NICHOLAS MATTHEW 외 8명,BALDING NICHOLAS MATTHEW 외 8명,2019-06-27
Kills You Slowly,The Chainsmokers,ANDREW TAGGART 외 8명,ANDREW TAGGART 외 8명,2019-06-28
Arabian Nights(2019)(Aladdin OST),Will Smith,"ALAN IRWIN MENKEN,HOWARD ELLIOTT ASHMAN","ALAN IRWIN MENKEN,HOWARD ELLIOTT ASHMAN",2019-07-02
Never Really Over,Katy Perry,BARLETTA GINO 외 8명,BARLETTA GINO 외 8명,2019-07-02
Sweet but Psycho,Ava Max,HAUKELAND ANDREAS 외 4명,HAUKELAND ANDREAS 외 4명,2019-07-02
Happy Ending,SEVENTEEN,"WOOZI,LEE JI HOON,BUMZU,KYE BUM JOO","WOOZI,LEE JI HOON,BUMZU,KYE BUM JOO",2019-07-03
Jealous,"DJ Khaled(Feat.Chris Brown,Lil Wayne & Big Sean)",ANDERSON SEAN MICHAEL 외 15명,ANDERSON SEAN MICHAEL 외 15명,2019-07-04
You Need To Calm Down,Taylor Swift,"JOEL LITTLE,TAYLOR ALISON SWIFT","JOEL LITTLE,TAYLOR ALISON SWIFT",2019-07-04
Prince Ali(Aladdin OST),Will Smith,"HOWARD ASHMAN,ALAN MENKEN","HOWARD ASHMAN,ALAN MENKEN",2019-07-05
Flatline,Justin Bieber,"JOSH GUDWIN,KENNETH COBY,JUSTIN BIEBER","JOSH GUDWIN,KENNETH COBY,JUSTIN BIEBER",2019-07-09
Weight In Gold,Gallant,"BHATTACHARYYA AJAY,GALLANT CHRISTOPHER JOSEPH III","BHATTACHARYYA AJAY,GALLANT CHRISTOPHER JOSEPH III",2019-07-09
Your song,Rita Ora,"STEVE MAC,ED SHEERAN","STEVE MAC,ED SHEERAN",2019-07-09
Hoodstar(ヒプノシスマイク),Division All Stars,INVISIBLE MANNERS,INVISIBLE MANNERS,2019-07-11
RISE(盾の勇者の成り上がり OP),MADKID,MADKID,MADKID,2019-07-12
Color Drive,DPR CREAM,DPR CREAM,DPR CREAM,2019-07-16
Have I Told You Lately That I Love You,Michael Buble(With Naturally 7),WISEMAN SCOTT,WISEMAN SCOTT,2019-07-16
Friend Like Me(Aladdin OST),Will Smith,"ALAN IRWIN MENKEN,HOWARD ELLIOTT ASHMAN","ALAN IRWIN MENKEN,HOWARD ELLIOTT ASHMAN",2019-07-17
Blame It On Your Love,Charli XCX(Feat.Lizzo),"AITCHISON CHARLOTTE EMMA,ERIKSEN MIKKEL STORLEER 외 3명","AITCHISON CHARLOTTE EMMA,ERIKSEN MIKKEL STORLEER 외 3명",2019-07-18
Senorita,"Shawn Mendes,Camila Cabello","ALI TAMPOSI,ANDRW WATT,BENNY BLANCO,CAMILA CABELLO,CHARLOTTE AITCHISON 외 3명","ALI TAMPOSI,ANDRW WATT,BENNY BLANCO,CAMILA CABELLO,CHARLOTTE AITCHISON 외 3명",2019-07-18
Anywhere,Rita Ora,"GALE NICHOLAS,LAMBROZA NOLAN JOSEPH 외 5명","GALE NICHOLAS,LAMBROZA NOLAN JOSEPH 외 5명",2019-07-19
Cross Me,Ed Sheeran(Feat.Chance the Rapper & PnB Rock),"ALLEN RAKIM HASHEEM,BENNETT CHANCELOR JOHNATHAN,FRED,SHEERAN ED","ALLEN RAKIM HASHEEM,BENNETT CHANCELOR JOHNATHAN,FRED,SHEERAN ED",2019-07-19
NASA,Ariana Grande,"ANDERSON CHARLES MICHAEL,BROWN THOMAS LEE,GRANDE ARIANA,MCCANTS VICTORIA MONET,PARKS TAYLOR MONET","ANDERSON CHARLES MICHAEL,BROWN THOMAS LEE,GRANDE ARIANA,MCCANTS VICTORIA MONET,PARKS TAYLOR MONET",2019-07-19
High Hopes,Panic! At The Disco,"HOLLANDER SAMUEL,JEBERG JONAS 외 7명","HOLLANDER SAMUEL,JEBERG JONAS 외 7명",2019-07-22
Nightmare,Halsey,"FRANGIPANE ASHLEY,GALOYAN SERGEY 외 8명","FRANGIPANE ASHLEY,GALOYAN SERGEY 외 8명",2019-07-22
Beautiful People,Ed Sheeran(Feat.Khalid),POLISCAR IKE P,POLISCAR IKE P,2019-07-23
Hurts 2B Human,Pink(Feat.Khalid),"GEIGER TEDDY,HARRIS SCOTT,HARTLEY ANNA CATHERINE WRIGHT 외 3명","GEIGER TEDDY,HARRIS SCOTT,HARTLEY ANNA CATHERINE WRIGHT 외 3명",2019-07-23
No Guidance,Chris Brown(Feat.Drake),"TYLER BRYANT,ANDERSON HERNANDEZ,MICHEE PATRICK LEBRUN 외 4명","TYLER BRYANT,ANDERSON HERNANDEZ,MICHEE PATRICK LEBRUN 외 4명",2019-07-25
Speechless,Dan+Shay,"SMYERS DANIEL,REYNOLDS JORDAN KYLE,VELTZ LAURA JEANNE,MOONEY JAMES SHAY","SMYERS DANIEL,REYNOLDS JORDAN KYLE,VELTZ LAURA JEANNE,MOONEY JAMES SHAY",2019-07-25
Goodbyes,Post Malone(Feat.Young Thug),"BRIAN LEE,LOUIS BELL,JEFFREY WILLIAMS,BILLY WALSH,AUSTIN RICHARD POST 외 2명","BRIAN LEE,LOUIS BELL,JEFFREY WILLIAMS,BILLY WALSH,AUSTIN RICHARD POST 외 2명",2019-07-26
Movie Star,CIX,"BEHR KAELYN,QUINN SCOTT PATRICK,MZMC,JAY KIM,ANTHONY RUSSO","JQ,이지혜,최서은",2019-07-26
Okay,LANY&Julia Michaels,"JULIA CARIN CAVAZOS,PAUL KLEIN","JULIA CARIN CAVAZOS,PAUL KLEIN",2019-07-26
Sad Forever,Lauv,ARI STAPRANS LEFF,ARI STAPRANS LEFF,2019-07-26
Despacito,Luis Fonsi(Feat.Daddy Yankee),"ERIKA ENDER,LUIS FONSI","ERIKA ENDER,LUIS FONSI",2019-08-05
Panini,Lil Nas X,"BAPTISTE DENZEL MICHAEL AKIL,BIRAL DAVID,COBAIN KURT D,HILL MONTERO LAMAR,OMISHORE OLADIPO O","BAPTISTE DENZEL MICHAEL AKIL,BIRAL DAVID,COBAIN KURT D,HILL MONTERO LAMAR,OMISHORE OLADIPO O",2019-08-05
Call You Mine,"The Chainsmokers,Bebe Rexha","MAC STEVE,PALL ALEXANDER J,TAGGART ANDREW,TAMPOSI ALI,WATT ANDREW,WHITFIELD NORMAN","MAC STEVE,PALL ALEXANDER J,TAGGART ANDREW,TAMPOSI ALI,WATT ANDREW,WHITFIELD NORMAN",2019-08-06
ICY,ITZY(있지),"J.Y.PARKTHEASIANSOUL,LAUREN DYSON,CAESAR DANIEL,LINDELL LUDWIG AXEL 외 4명","PENOMECO(페노메코),J.Y.PARKTHEASIANSOUL",2019-08-07
BOOL,pH-1(Feat.빈지노)(Prod.Mokyo),"PH-1,모키오(MOKYO)","PH-1,BEENZINO",2019-08-08
UNDER COVER,A.C.E(에이스),"ONESTAR,BIGTONE,MAD FRESH","ONESTAR,BIGTONE,MAD FRESH",2019-08-12
A Step You Can't Take Back(Begin Again OST),Keira Knightley,"CARNEY JOHN M,ALEXANDER GREGG,BRISEBOIS DANIELLE A","CARNEY JOHN M,ALEXANDER GREGG,BRISEBOIS DANIELLE A",2019-08-14
BLUE SAPPHIRE(名探偵コナン紺青の拳 OST),HIROOMI TOSAKA,"YVES&ADAM,STAND ALONE,Carlos Okabe,YO-SEA","YVES&ADAM,STAND ALONE",2019-08-14
I'm Coming Home,Tom Jones,"MASON BARRY,REED LES","MASON BARRY,REED LES",2019-08-15
Can You Feel the Love Tonight(Lion King OST),"Beyonce,Donald Glover,Billy Eichner,Seth Rogen",JOHN ELTON,RICE (GB) TIM,2019-08-16
Gravity,"DPR LIVE,DPR CREAM","DPR CREAM,DPR LIVE(디피알 라이브)","DPR CREAM,DPR LIVE(디피알 라이브)",2019-08-19
Honesty,Pink Sweat$,BOWDEN DAVID,BOWDEN DAVID,2019-08-19
EX,Kiana Lede,"BAKER LAUREN ELIZABETH,LENA CHELSEA,SILON CHELSEA LENA,LAZAR CAMERON HALE","BAKER LAUREN ELIZABETH,LENA CHELSEA,SILON CHELSEA LENA",2019-08-20
HAPPY HAPPY,Twice,Yu Shimoji,"LEE WOO MIN,LEE WOO MIN COLLAPSEDONE,LEE MIN,DEL PRETE VALERIA,SANICOLA ERIC JOHN",2019-08-21
Y,FANXY CHILD,"ZICO,권혁,PENOMECO(페노메코),크러쉬,STAY TUNED A,STAY TUNED B","ZICO,권혁,PENOMECO(페노메코),크러쉬",2019-08-21
The London,Young Thug(Feat.J. Cole&Travis Scott),"COLE JERMAINE,WILLIAMS JEFFERY LAMAR,WILLIAMS TYLER MATTHEW CARL 외 2명","COLE JERMAINE,WILLIAMS JEFFERY LAMAR,WILLIAMS TYLER MATTHEW CARL 외 2명",2019-08-22
boyfriend,"Ariana Grande,Social House","ANDERSON CHARLES MICHAEL,BARRERA EDGAR,BROWN THOMAS CLAXTON 외 3명","ANDERSON CHARLES MICHAEL,BARRERA EDGAR,BROWN THOMAS CLAXTON 외 3명",2019-08-23
How Do You Sleep?,Sam Smith,"ILYA SALMANZADEH,MAX MARTIN,SAMUEL FREDERICK SMITH,SAVAN KOTECHA","ILYA SALMANZADEH,MAX MARTIN,SAMUEL FREDERICK SMITH,SAVAN KOTECHA",2019-08-26
